pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,month,day_name,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts
405.652,11:51:03,13.7314,4.571656,1.4479,0.1399,1.8367419,13.713708,13.6711,38.6414,29.0755,3.3286,144.454,0,42663.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405.315,11:51:04,13.7314,4.571649,1.4467,0.1352,1.8366911,13.713708,13.6712,38.6415,29.0755,3.3219,144.166,0,42664.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.669,11:51:05,13.7317,4.57165,1.4467,0.1387,1.8365384,13.714392,13.6716,38.6414,29.0754,3.3277,144.414,0,42665.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.382,11:51:06,13.7317,4.571633,1.447,0.1419,1.8364367,13.714392,13.6717,38.6414,29.0754,3.3256,144.326,0,42666.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.424,11:51:07,13.7317,4.571639,1.4464,0.1396,1.8365384,13.715075,13.6717,38.6414,29.0754,3.3215,144.147,0,42667.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.367,11:51:08,13.7316,4.571625,1.4461,0.1237,1.8364876,13.713708,13.6716,38.6414,29.0754,3.3257,144.33,0,42668.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.272,11:51:09,13.7317,4.57162,1.4466,0.1263,1.8367419,13.714392,13.6717,38.6413,29.0753,3.3275,144.408,0,42669.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.218,11:51:10,13.7318,4.571623,1.4468,0.1298,1.8367419,13.715075,13.6718,38.6413,29.0752,3.3292,144.48,0,42670.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.053,11:51:11,13.7318,4.571628,1.4472,0.1254,1.8364876,13.713708,13.6718,38.6414,29.0753,3.3298,144.507,0,42671.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403.8,11:51:12,13.7319,4.57163,1.4475,0.1407,1.8363858,13.715759,13.672,38.6414,29.0753,3.3338,144.68,0,42672.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
