pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,month,day_name,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts
1.386678,11:38:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41885,Wed,Dec,9,2020,82,150,64,535,72,82,53,541,ECOV2-B00206,710,56,50,28426,56,69,52,29176,69,57,50,29262,57,53,50,29297,53,13.82
1.352909,11:38:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41887,Wed,Dec,9,2020,77,150,65,535,70,83,59,540,ECOV2-B00206,712,69,50,28458,69,108,53,29207,108,63,51,29270,63,53,49,29300,53,13.82
1.305907,11:38:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41888,Wed,Dec,9,2020,73,159,65,535,72,81,56,540,ECOV2-B00206,713,51,50,28418,51,53,50,29161,53,54,50,29272,54,53,50,29299,53,13.81
1.394268,11:38:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41889,Wed,Dec,9,2020,74,147,64,535,70,83,58,541,ECOV2-B00206,714,95,52,28516,95,211,64,29271,211,98,53,29247,98,53,48,29315,53,13.82
1.54499,11:38:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41890,Wed,Dec,9,2020,71,157,63,535,NA,NA,NA,NA,ECOV2-B00206,715,52,50,28418,52,54,50,29164,54,53,50,29269,53,53,50,29296,53,13.82
1.417701,11:38:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41891,Wed,Dec,9,2020,79,164,62,535,71,81,57,540,ECOV2-B00206,716,71,50,28458,71,128,55,29216,128,73,51,29254,73,53,49,29307,53,13.82
1.195118,11:38:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41892,Wed,Dec,9,2020,81,159,63,535,72,86,57,540,ECOV2-B00206,717,64,50,28439,64,84,54,29182,84,61,50,NA,NA,NA,NA,NA,NA,NA
1.437063,11:38:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41893,Wed,Dec,9,2020,72,142,60,535,75,84,58,540,ECOV2-B00206,718,52,50,28415,52,54,50,29164,54,52,50,29272,52,53,50,29300,53,13.81
1.681647,11:38:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41894,Wed,Dec,9,2020,73,151,60,535,73,82,58,541,ECOV2-B00206,719,52,50,28428,52,53,50,29175,53,54,50,29259,54,52,48,29308,52,13.82
1.51828,11:38:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41895,Wed,Dec,9,2020,71,154,61,535,76,79,57,541,ECOV2-B00206,720,54,51,28419,54,54,50,29166,54,54,50,29262,54,52,49,29304,52,13.81
