pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,month,day_name,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts
405.476423,11:51:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42664,Wed,Dec,9,2020,44,97,54,534,61,50,50,541,ECOV2-B00206,1493,57,51,28259,57,103,52,29194,103,58,50,29096,58,350,72,29255,350,13.84
404.978434,11:51:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42665,Wed,Dec,9,2020,49,87,56,534,60,48,48,541,ECOV2-B00206,1494,56,50,28261,56,102,53,29185,102,57,50,29101,57,352,74,29250,352,13.82
404.519473,11:51:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42666,Wed,Dec,9,2020,43,85,57,534,57,49,53,541,ECOV2-B00206,1495,53,50,28257,53,106,54,29192,106,57,50,29107,57,352,74,29253,352,13.83
404.403882,11:51:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42667,Wed,Dec,9,2020,43,86,56,534,59,50,51,541,ECOV2-B00206,1496,56,50,28261,56,107,54,29198,107,58,51,29099,58,352,73,29248,352,13.83
404.317505,11:51:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42669,Wed,Dec,9,2020,45,89,57,NA,57,49,51,541,ECOV2-B00206,1498,55,50,28266,55,102,54,29196,102,58,50,29099,58,352,73,29262,352,13.82
404.243866,11:51:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42670,Wed,Dec,9,2020,46,95,57,534,60,49,49,541,ECOV2-B00206,1499,55,50,28264,55,100,53,29190,100,60,50,29102,60,352,74,29253,352,13.83
404.243866,11:51:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42670,Wed,Dec,9,2020,46,95,57,534,60,49,49,541,ECOV2-B00206,1500,54,50,28258,54,100,53,29183,100,58,50,29108,58,352,74,29255,352,13.83
404.132035,11:51:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42671,Wed,Dec,9,2020,45,84,58,534,58,50,50,541,ECOV2-B00206,1501,54,49,28256,54,109,54,29199,109,58,51,29099,58,353,74,29256,353,13.84
403.921187,11:51:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42672,Wed,Dec,9,2020,48,84,59,534,58,48,52,541,ECOV2-B00206,1502,54,50,28265,54,109,54,29191,109,59,50,29102,59,351,75,29250,351,13.82
403.709867,11:51:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42673,Wed,Dec,9,2020,46,85,60,534,58,49,51,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403.414953,11:51:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42674,Wed,Dec,9,2020,41,84,59,534,59,48,50,541,ECOV2-B00206,1503,58,50,28261,58,103,54,29185,103,59,50,29104,59,351,73,29256,351,13.82
402.995449,11:51:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42675,Wed,Dec,9,2020,46,87,59,534,NA,NA,NA,NA,ECOV2-B00206,1504,57,50,28263,57,103,54,29198,103,59,50,29114,59,351,73,29248,351,13.83
402.995449,11:51:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42675,Wed,Dec,9,2020,46,87,59,534,NA,NA,NA,NA,ECOV2-B00206,1505,56,50,28265,56,102,54,29203,102,58,50,29102,58,351,74,29249,351,13.82
402.745378,11:51:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42677,Wed,Dec,9,2020,46,87,58,534,58,48,50,541,ECOV2-B00206,1507,56,50,28257,56,102,54,29198,102,57,51,29096,57,353,75,29256,353,13.83
402.569566,11:51:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42678,Wed,Dec,9,2020,44,85,59,534,57,48,50,541,ECOV2-B00206,1508,55,50,28255,55,103,53,29189,103,59,51,29105,59,352,73,29249,352,13.83
402.569566,11:51:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42678,Wed,Dec,9,2020,57,48,50,541,57,48,50,541,ECOV2-B00206,1508,55,50,28255,55,103,53,29189,103,59,51,29105,59,352,73,29249,352,13.83
402.569566,11:51:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42678,Wed,Dec,9,2020,50,55,53,29189,57,48,50,541,ECOV2-B00206,1508,55,50,28255,55,103,53,29189,103,59,51,29105,59,352,73,29249,352,13.83
402.073333,11:51:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42679,Wed,Dec,9,2020,44,84,57,534,60,47,49,541,ECOV2-B00206,1509,56,51,28264,56,102,54,29195,102,59,51,29104,59,352,75,29245,352,13.83
401.453106,11:51:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42680,Wed,Dec,9,2020,43,84,60,534,59,49,51,541,ECOV2-B00206,1510,56,50,28263,56,103,53,29199,103,57,50,29098,57,351,73,29256,351,13.83
400.949037,11:51:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42681,Wed,Dec,9,2020,45,85,59,534,59,50,51,541,ECOV2-B00206,1511,54,50,28268,54,106,52,29190,106,56,51,29108,56,350,73,29260,350,13.84
400.482475,11:51:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42682,Wed,Dec,9,2020,47,83,58,534,58,49,50,541,ECOV2-B00206,1512,57,50,28257,57,106,54,29185,106,58,50,29097,58,351,74,29250,351,13.83
400.078347,11:51:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42683,Wed,Dec,9,2020,46,87,60,534,60,50,51,541,ECOV2-B00206,1513,54,50,28271,54,104,52,29182,104,57,50,29086,57,348,74,29242,348,13.83
