pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,month,day_name,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts
1.221,11:38:04,15.0554,4.626164,1.8629,0.3512,1.5359686,15.01774,15.0552,38.017,28.2879,4.4128,191.654,0,41884.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.539,11:38:05,15.0594,4.626453,1.8636,0.362,1.5361721,15.01842,15.0592,38.0156,28.286,4.4097,191.521,0,41885.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.442,11:38:06,15.0474,4.625291,1.8626,0.3587,1.5360704,15.016378,15.0472,38.0167,28.2895,4.4048,191.305,0,41886.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.271,11:38:07,15.0478,4.625311,1.8622,0.3481,1.5362739,15.021143,15.0476,38.0165,28.2892,4.4056,191.34,0,41887.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.338,11:38:08,15.0528,4.625789,1.8625,0.3558,1.5361721,15.021824,15.0526,38.016,28.2877,4.4098,191.524,0,41888.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.446,11:38:09,15.0531,4.625853,1.8619,0.3396,1.5361721,15.019782,15.0529,38.0163,28.2879,4.4022,191.194,0,41889.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.636,11:38:10,15.0334,4.623667,1.8615,0.3425,1.5357651,15.022504,15.0331,38.0153,28.2915,4.4069,191.399,0,41890.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.217,11:38:11,15.0278,4.623156,1.8614,0.3436,1.535816,15.029992,15.0276,38.0161,28.2934,4.4079,191.441,0,41891.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.175,11:38:12,15.0301,4.623404,1.8625,0.341,1.5359178,15.025227,15.0299,38.0162,28.293,4.4119,191.615,0,41892.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.678,11:38:13,15.0347,4.623913,1.8612,0.337,1.535816,15.023866,15.0344,38.0162,28.292,4.3998,191.089,0,41893.479,Wed,Dec,9,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
