pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
402.253,10H 2M 55.4789999999994S,13.7006,4.568405,2.2579,0.1392,1.8392857,13.681577,13.641,38.6431,29.0832,3.3902,147.128,0,36175.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.454,10H 2M 56.4789999999994S,13.7004,4.568361,2.2575,0.1465,1.8392857,13.680893,13.641,38.6431,29.0833,3.3878,147.025,0,36176.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.932,10H 2M 57.4789999999994S,13.7011,4.568405,2.2574,0.1471,1.8390822,13.684311,13.6417,38.6431,29.0831,3.3907,147.148,0,36177.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.559,10H 2M 58.4789999999994S,13.7,4.568313,2.2581,0.1476,1.8388787,13.681577,13.6405,38.6431,29.0833,3.3907,147.151,0,36178.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
402.116,10H 2M 59.4789999999994S,13.7004,4.568383,2.258,0.1526,1.839133,13.681577,13.6408,38.643,29.0833,3.3925,147.226,0,36179.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.853,10H 3M 0.47899999999936S,13.6999,4.568308,2.2586,0.1583,1.8388787,13.68226,13.6404,38.6429,29.0833,3.3915,147.186,0,36180.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.29,10H 3M 1.47899999999936S,13.7001,4.568308,2.258,0.153,1.8389804,13.680893,13.6406,38.643,29.0833,3.3896,147.101,0,36181.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.938,10H 3M 2.47899999999936S,13.7008,4.568392,2.258,0.1426,1.8388787,13.681577,13.6414,38.6432,29.0832,3.39,147.121,0,36182.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.185,10H 3M 3.47899999999936S,13.7003,4.568334,2.258,0.1482,1.8389295,13.681577,13.6409,38.6431,29.0833,3.3909,147.156,0,36183.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.594,10H 3M 4.47899999999936S,13.7002,4.568332,2.2583,0.1494,1.8390313,13.680893,13.6407,38.643,29.0833,3.3915,147.183,0,36184.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.179,10H 3M 5.47899999999936S,13.7003,4.568324,2.2578,0.1476,1.8388278,13.681577,13.6408,38.643,29.0832,3.388,147.033,0,36185.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.592,10H 3M 6.47899999999936S,13.7006,4.568338,2.2575,0.1481,1.8393874,13.681577,13.6413,38.6431,29.0832,3.3889,147.07,0,36186.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.998,10H 3M 7.47899999999936S,13.7006,4.568351,2.2578,0.1502,1.8388278,13.680893,13.6412,38.643,29.0832,3.3922,147.215,0,36187.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.686,10H 3M 8.47899999999936S,13.6996,4.568264,2.2589,0.1467,1.8389804,13.681577,13.6401,38.6429,29.0833,3.3953,147.348,0,36188.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.578,10H 3M 9.47899999999936S,13.7007,4.568389,2.2591,0.1458,1.8390313,13.680893,13.6412,38.6431,29.0832,3.3927,147.234,0,36189.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.951,10H 3M 10.4789999999994S,13.6998,4.568245,2.2587,0.147,1.8387769,13.681577,13.6404,38.6429,29.0832,3.3893,147.088,0,36190.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.458,10H 3M 11.4789999999994S,13.7,4.568256,2.2579,0.1535,1.8393874,13.681577,13.6407,38.643,29.0833,3.3878,147.021,0,36191.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
