pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
2.4,9H 50M 37.4789999999994S,13.3585,4.493384,2.8082,0.4428,1.6362942,13.331269,13.3582,38.4532,28.9962,4.3844,190.291,0,35437.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.437,9H 50M 38.4789999999994S,13.3579,4.493307,2.8087,0.4208,1.6364468,13.332638,13.3576,38.453,28.9961,4.3872,190.412,0,35438.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.29,9H 50M 39.4789999999994S,13.3555,4.493085,2.8089,0.3642,1.6365486,13.333323,13.3552,38.4535,28.997,4.386,190.357,0,35439.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.27,9H 50M 40.4789999999994S,13.3559,4.493166,2.8088,0.3384,1.6366503,13.333323,13.3556,38.4539,28.9972,4.3879,190.442,0,35440.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.363,9H 50M 41.4789999999994S,13.357,4.493251,2.8103,0.3967,1.6367521,13.333323,13.3567,38.4534,28.9966,4.3932,190.671,0,35441.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.271,9H 50M 42.4789999999994S,13.3552,4.493042,2.8115,0.2821,1.6368538,13.333323,13.3549,38.4534,28.997,4.3918,190.612,0,35442.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.343,9H 50M 43.4789999999994S,13.3524,4.492803,2.8105,0.2607,1.636803,13.330584,13.3521,38.4538,28.9979,4.3871,190.406,0,35443.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.386,9H 50M 44.4789999999994S,13.3541,4.492992,2.8099,0.3672,1.6369556,13.333323,13.3538,38.4539,28.9976,4.3852,190.326,0,35444.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.231,9H 50M 45.4789999999994S,13.3533,4.492854,2.8091,0.4295,1.6369556,13.333323,13.353,38.4535,28.9975,4.3835,190.25,0,35445.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.218,9H 50M 46.4789999999994S,13.3589,4.493467,2.8072,0.4881,1.6367521,13.332638,13.3586,38.4537,28.9964,4.3764,189.943,0,35446.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
