pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
499.397,10H 45M 58.4789999999994S,13.7916,4.583602,2.2117,0.1461,1.8363858,13.775909,13.717,38.6525,29.0743,3.3236,144.238,0,38758.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
499.125,10H 45M 59.4789999999994S,13.7918,4.583593,2.2113,0.1367,1.8364876,13.779326,13.7173,38.6523,29.0741,3.3234,144.23,0,38759.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
498.715,10H 46M 0.47899999999936S,13.7914,4.58355,2.2111,0.1292,1.8364367,13.777959,13.717,38.6525,29.0742,3.3224,144.184,0,38760.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
498.62,10H 46M 1.47899999999936S,13.7919,4.583606,2.2107,0.1368,1.8363858,13.779326,13.7175,38.6526,29.0742,3.3218,144.162,0,38761.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
498.814,10H 46M 2.47899999999936S,13.7915,4.583579,2.2106,0.139,1.8362332,13.778643,13.7171,38.6526,29.0743,3.3238,144.248,0,38762.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
499.138,10H 46M 3.47899999999936S,13.7912,4.583558,2.2116,0.1571,1.8366402,13.776592,13.7167,38.6525,29.0743,3.3288,144.464,0,38763.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
499.11,10H 46M 4.47899999999936S,13.7915,4.583576,2.2127,0.1604,1.8363858,13.776592,13.717,38.6525,29.0742,3.3291,144.478,0,38764.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
498.693,10H 46M 5.47899999999936S,13.7914,4.583546,2.2124,0.1597,1.8365893,13.779326,13.717,38.6525,29.0742,3.323,144.215,0,38765.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
498.823,10H 46M 6.47899999999936S,13.7914,4.583566,2.2111,0.1598,1.8364876,13.777959,13.7169,38.6526,29.0743,3.3212,144.133,0,38766.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
499.233,10H 46M 7.47899999999936S,13.7915,4.583589,2.2111,0.1447,1.8365384,13.777276,13.717,38.6526,29.0743,3.3236,144.24,0,38767.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
498.889,10H 46M 8.47899999999936S,13.7916,4.583562,2.2108,0.1381,1.8365893,13.778643,13.7171,38.6524,29.0741,3.3229,144.207,0,38768.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
498.788,10H 46M 9.47899999999936S,13.7915,4.583565,2.2112,0.1501,1.8365893,13.777959,13.717,38.6525,29.0743,3.3265,144.362,0,38769.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
