pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
1.709,9H 0M 13.4789999999994S,13.9453,4.500567,2.9771,0.424,1.5607449,13.928269,13.945,37.9342,28.4688,4.6887,203.599,0,32413.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.742,9H 0M 14.4789999999994S,13.9398,4.500178,2.9762,0.4201,1.5607957,13.930318,13.9395,37.9359,28.4713,4.6845,203.417,0,32414.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.76,9H 0M 15.4789999999994S,13.9462,4.500731,2.9754,0.4215,1.5613554,13.928952,13.9459,37.9348,28.4691,4.6848,203.431,0,32415.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.769,9H 0M 16.4789999999994S,13.9415,4.500184,2.976,0.4153,1.5607957,13.927586,13.9412,37.9344,28.4698,4.6896,203.639,0,32416.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.764,9H 0M 17.4789999999994S,13.9385,4.49986,2.977,0.4052,1.5613554,13.929635,13.9382,37.9343,28.4703,4.69,203.659,0,32417.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.758,9H 0M 18.4789999999994S,13.9412,4.500267,2.9768,0.4205,1.5614062,13.926903,13.9409,37.9354,28.4706,4.6884,203.589,0,32418.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.721,9H 0M 19.4789999999994S,13.9435,4.500451,2.9769,0.4288,1.5610501,13.927586,13.9432,37.9349,28.4697,4.6869,203.524,0,32419.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.751,9H 0M 20.4789999999994S,13.9444,4.500517,2.9757,0.4357,1.5612027,13.926903,13.9441,37.9346,28.4693,4.6825,203.333,0,32420.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.809,9H 0M 21.4789999999994S,13.945,4.500589,2.9748,0.4176,1.5605414,13.927586,13.9447,37.9347,28.4692,4.6825,203.33,0,32421.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.74,9H 0M 22.4789999999994S,13.9437,4.500391,2.975,0.4143,1.5612027,13.926903,13.9434,37.9341,28.4691,4.6871,203.53,0,32422.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.758,9H 0M 23.4789999999994S,13.9426,4.500323,2.9759,0.4178,1.5612536,13.926903,13.9423,37.9345,28.4696,4.6882,203.579,0,32423.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.662,9H 0M 24.4789999999994S,13.9465,4.500738,2.9761,0.443,1.5611519,13.926903,13.9463,37.9347,28.4689,4.6862,203.491,0,32424.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.764,9H 0M 25.4789999999994S,13.9474,4.500763,2.9757,0.446,1.5612027,13.92622,13.9471,37.934,28.4681,4.6848,203.434,0,32425.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.881,9H 0M 26.4789999999994S,13.9473,4.5008,2.9757,0.4414,1.5612536,13.926903,13.947,37.9344,28.4685,4.6851,203.446,0,32426.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.648,9H 0M 27.4789999999994S,13.947,4.500751,2.9753,0.434,1.5608466,13.925537,13.9468,37.9343,28.4685,4.6824,203.326,0,32427.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
